Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,id,Ocup_2000,Ocup_2010,Ocup_2018,xcoord,ycoord,NM_MU,CODMU,COD_1,COD_UF,UF,COD_2,ANO,IVS_2000,IVS_INF_00,IVS_CPH_00,IVS_REN_00,2010_ANO,IVS_2010,IVS_INF_10,IVS_CPH_10,IVS_REN_10,fid,ID_UNICO,nome_1KM,nome_5KM,nome_10KM,nome_50KM,nome_100KM,nome_500KM,QUADRANTE,MASC,FEM,POP,DOM_OCU,area,perimeter,URB_RURAL,Dens_Dom,Dens_hab
,,,,,,"-1","0","-1",,,F1253,1,0,0,-36.0896879227979,-8.00250959010368,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,420,200ME69484N103862,1KME6948N10386,5KME6945N10385,10KME6940N10380,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,0,0,0,0,40082.9135742188,800.893306286296,1,0,0
,,,,,,"-1","0","-1",,,F1254,1,0,0,-36.0897540982566,-8.00244846621558,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,420,200ME69484N103862,1KME6948N10386,5KME6945N10385,10KME6940N10380,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,0,0,0,0,40082.9135742188,800.893306286296,1,0,0
,,,,,,"-1","0","-1",,,F1255,1,0,0,-36.0898604332666,-8.00233380554103,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,420,200ME69484N103862,1KME6948N10386,5KME6945N10385,10KME6940N10380,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,0,0,0,0,40082.9135742188,800.893306286296,1,0,0
,,,,,,"-1","0","-1",,,F1264,1,0,0,-36.0935321502646,-7.99590832879645,TAQUARITINGA DO NORTE,2615003,261500,26,Pernambuco,2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,438,200ME69480N103870,1KME6948N10386,5KME6945N10385,10KME6940N10380,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,5,4,9,5,40083.2021484375,800.896101541536,1,0,0.000224532959385
,,,,,,"-1","0","-1",,,F1263,1,0,0,-36.09358167064,-7.99590006321839,TAQUARITINGA DO NORTE,2615003,261500,26,Pernambuco,2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,438,200ME69480N103870,1KME6948N10386,5KME6945N10385,10KME6940N10380,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,5,4,9,5,40083.2021484375,800.896101541536,1,0,0.000224532959385
,,,,,,"-1","0","-1",,,F1265,1,0,0,-36.0934697989849,-7.99591944921593,TAQUARITINGA DO NORTE,2615003,261500,26,Pernambuco,2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,438,200ME69480N103870,1KME6948N10386,5KME6945N10385,10KME6940N10380,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,5,4,9,5,40083.2021484375,800.896101541536,1,0,0.000224532959385
,,,,,,"-1","0","-1",,,F1237,1,0,0,-36.077120126244,-8.00521831797001,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,561,200ME69496N103858,1KME6949N10385,5KME6945N10385,10KME6940N10380,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,0,0,0,0,40082.048828125,800.884705196695,1,0,0
,,,,,,"-1","0","-1",,,F1233,1,0,0,-36.0751204338386,-8.00551989668789,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,562,200ME69498N103858,1KME6949N10385,5KME6945N10385,10KME6940N10380,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,7,9,16,5,40081.9279785156,800.883496785643,1,0,0.000399182394833
,,,,,,"-1","0","-1",,,F1234,1,0,0,-36.0752559000102,-8.00549907167611,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,562,200ME69498N103858,1KME6949N10385,5KME6945N10385,10KME6940N10380,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,7,9,16,5,40081.9279785156,800.883496785643,1,0,0.000399182394833
,,,,,,"-1","0","-1",,,F1235,1,0,0,-36.075390026255,-8.00547677809617,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,562,200ME69498N103858,1KME6949N10385,5KME6945N10385,10KME6940N10380,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,7,9,16,5,40081.9279785156,800.883496785643,1,0,0.000399182394833
