id,Ocup_2000,Ocup_2010,Ocup_2018,xcoord,ycoord,NM_MU,CODMU,COD_1,COD_UF,UF,COD_2,ANO,IVS_2000,IVS_INF_00,IVS_CPH_00,IVS_REN_00,2010_ANO,IVS_2010,IVS_INF_10,IVS_CPH_10,IVS_REN_10,fid,ID_UNICO,nome_1KM,nome_5KM,nome_10KM,nome_50KM,nome_100KM,nome_500KM,QUADRANTE,MASC,FEM,POP,DOM_OCU,area,perimeter
F1793,"1","0","0",-36.128112701943600,-7.949106480444510,TAQUARITINGA DO NORTE,"2615003",261500.000000000000000,26.000000000000000,Pernambuco,2615003.000000000000000,2000.000000000000000,0.539000000000000,0.406000000000000,0.656000000000000,0.555000000000000,2010.000000000000000,0.385000000000000,0.255000000000000,0.495000000000000,0.406000000000000,276,200ME69446N103924,1KME6944N10392,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",40085.813720703125000,800.921597073572343
F1790,"1","0","0",-36.128416065436603,-7.948873317106970,TAQUARITINGA DO NORTE,"2615003",261500.000000000000000,26.000000000000000,Pernambuco,2615003.000000000000000,2000.000000000000000,0.539000000000000,0.406000000000000,0.656000000000000,0.555000000000000,2010.000000000000000,0.385000000000000,0.255000000000000,0.495000000000000,0.406000000000000,276,200ME69446N103924,1KME6944N10392,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",40085.813720703125000,800.921597073572343
F1789,"1","0","0",-36.128412951991997,-7.948778067809460,TAQUARITINGA DO NORTE,"2615003",261500.000000000000000,26.000000000000000,Pernambuco,2615003.000000000000000,2000.000000000000000,0.539000000000000,0.406000000000000,0.656000000000000,0.555000000000000,2010.000000000000000,0.385000000000000,0.255000000000000,0.495000000000000,0.406000000000000,281,200ME69446N103926,1KME6944N10392,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"3","2","5","1",40085.825927734375000,800.921698064779548
F1788,"1","0","0",-36.128410779453098,-7.948685755197780,TAQUARITINGA DO NORTE,"2615003",261500.000000000000000,26.000000000000000,Pernambuco,2615003.000000000000000,2000.000000000000000,0.539000000000000,0.406000000000000,0.656000000000000,0.555000000000000,2010.000000000000000,0.385000000000000,0.255000000000000,0.495000000000000,0.406000000000000,281,200ME69446N103926,1KME6944N10392,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"3","2","5","1",40085.825927734375000,800.921698064779548
F1787,"1","0","0",-36.128416190817802,-7.948472771556900,TAQUARITINGA DO NORTE,"2615003",261500.000000000000000,26.000000000000000,Pernambuco,2615003.000000000000000,2000.000000000000000,0.539000000000000,0.406000000000000,0.656000000000000,0.555000000000000,2010.000000000000000,0.385000000000000,0.255000000000000,0.495000000000000,0.406000000000000,281,200ME69446N103926,1KME6944N10392,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"3","2","5","1",40085.825927734375000,800.921698064779548
F1782,"1","0","0",-36.127404648287900,-7.943166670163380,TAQUARITINGA DO NORTE,"2615003",261500.000000000000000,26.000000000000000,Pernambuco,2615003.000000000000000,2000.000000000000000,0.539000000000000,0.406000000000000,0.656000000000000,0.555000000000000,2010.000000000000000,0.385000000000000,0.255000000000000,0.495000000000000,0.406000000000000,296,200ME69446N103932,1KME6944N10393,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",40085.854980468750000,800.921919035548399
F1829,"1","0","0",-36.121944198484201,-7.936148566914870,TAQUARITINGA DO NORTE,"2615003",261500.000000000000000,26.000000000000000,Pernambuco,2615003.000000000000000,2000.000000000000000,0.539000000000000,0.406000000000000,0.656000000000000,0.555000000000000,2010.000000000000000,0.385000000000000,0.255000000000000,0.495000000000000,0.406000000000000,334,200ME69452N103938,1KME6945N10393,5KME6945N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"5","6","11","2",40085.471923828125000,800.918018912444495
F1625,"1","0","0",-36.122973831097802,-7.936484194215860,TAQUARITINGA DO NORTE,"2615003",261500.000000000000000,26.000000000000000,Pernambuco,2615003.000000000000000,2000.000000000000000,0.539000000000000,0.406000000000000,0.656000000000000,0.555000000000000,2010.000000000000000,0.385000000000000,0.255000000000000,0.495000000000000,0.406000000000000,334,200ME69452N103938,1KME6945N10393,5KME6945N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"5","6","11","2",40085.471923828125000,800.918018912444495
F1859,"1","0","0",-36.122426092409100,-7.935736865657710,TAQUARITINGA DO NORTE,"2615003",261500.000000000000000,26.000000000000000,Pernambuco,2615003.000000000000000,2000.000000000000000,0.539000000000000,0.406000000000000,0.656000000000000,0.555000000000000,2010.000000000000000,0.385000000000000,0.255000000000000,0.495000000000000,0.406000000000000,339,200ME69452N103940,1KME6945N10393,5KME6945N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"1","0","1","1",40085.474487304687500,800.918024281510611
F1250,"1","0","0",-36.089436736638298,-8.002774255115630,TORITAMA,"2615409",261540.000000000000000,26.000000000000000,Pernambuco,2615409.000000000000000,2000.000000000000000,0.428000000000000,0.069000000000000,0.748000000000000,0.466000000000000,2010.000000000000000,0.362000000000000,0.112000000000000,0.595000000000000,0.379000000000000,420,200ME69484N103862,1KME6948N10386,5KME6945N10385,10KME6940N10380,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",40082.913574218750000,800.893306286295910
