"","id","Rodovia","SNV","Km","Lado","Tipo","P_constr","N_Pessoas","UN_ID","Ocup_2000","Ocup_2010","Ocup_2018","UN_ORIG_FI","n","distance","feature_x","feature_y","xcoord","ycoord","zcoord","mvalue"
"1207","F273",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,843,1,2.84553380813326,832247.224958017,9082707.15624658,-35.9842266722974,-8.2870480703905,-999999,0
"1208","F274",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,838,1,6.77720923423738,832245.505735392,9082696.28964046,-35.9842415144132,-8.2871463443943,-999999,0
"1209","F275",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,4115,1,2.29535710494449,832241.483985488,9082678.00461235,-35.984276725667,-8.28731178559574,-999999,0
"1210","F276",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,4119,1,3.08750351514872,832242.020086635,9082666.23603784,-35.9842710537325,-8.28741805222144,-999999,0
"1211","F277",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,4111,1,1.63485877006406,832236.689126069,9082654.31506737,-35.9843185755429,-8.28752609785547,-999999,0
"1212","F277",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,4108,1,6.10649583371888,832233.779420909,9082642.54250631,-35.9843441509223,-8.2876326368551,-999999,0
"1213","F279",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,4107,1,5.34991607661619,832233.03799551,9082637.48210881,-35.9843505259147,-8.28767839736724,-999999,0
"1214","F282",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,4110,1,1.82222364531362,832232.866811396,9082632.90089275,-35.9843517627852,-8.28771979040529,-999999,0
"1215","F281",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,4105,1,4.20069497352097,832232.10939809,9082627.78368785,-35.9843582788475,-8.28776606514559,-999999,0
"1216","F281",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,4104,1,3.97579776051591,832231.191768095,9082621.53744041,-35.9843661700524,-8.28782254931337,-999999,0
"1217","F287",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,832,1,2.67781544954464,832207.316998226,9082559.37796419,-35.9845783933287,-8.28838566234794,-999999,0
"1218","F288",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,831,1,2.11488704869402,832206.544883658,9082555.98650586,-35.9845851615597,-8.28841634974583,-999999,0
"1219","F2233",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2835,1,1.98086805930587,836449.032937756,9064123.45417012,-35.9448147827568,-8.45461448815648,-999999,0
"1220","F324",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,863,1,3.00033091932303,832287.705673106,9082978.00384492,-35.9838782319209,-8.28459877709889,-999999,0
"1221","F2237",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2838,1,6.79562994220646,836433.901277282,9064152.1311874,-35.9449540960235,-8.45435653806081,-999999,0
"1222","F325",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,863,1,3.40134297438722,832285.218086574,9082972.1329244,-35.9839003857166,-8.28465197864415,-999999,0
"1223","F2227",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2821,1,6.5001090310858,836473.132824876,9064100.27461853,-35.9445945024057,-8.45482214704064,-999999,0
"1224","F2228",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2828,1,6.22565329848252,836466.439097203,9064107.09181734,-35.9446557121403,-8.45476104581467,-999999,0
"1225","F2234",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2836,1,2.34991875716702,836447.50843228,9064127.49064121,-35.944828900168,-8.4545781371512,-999999,0
"1226","F2235",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2836,1,3.84029842590006,836446.804542736,9064131.98385592,-35.9448356056045,-8.4545376024831,-999999,0
"1227","F2236",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4136,1,9.17132182896979,836441.891721402,9064141.67051897,-35.9448808634508,-8.45445045678049,-999999,0
"1228","F2238",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2839,1,5.98845357758773,836429.696166215,9064158.53404094,-35.944992699836,-8.45429900288899,-999999,0
"1229","F2239",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2841,1,5.32137139910379,836426.803639453,9064162.04328527,-35.945019190128,-8.45426751095337,-999999,0
"1230","F1005",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2842,1,16.6388760572872,836414.628813407,9064178.57282573,-35.9451308145712,-8.45411907217298,-999999,0
"1231","F1006",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2852,1,5.44882972003713,836401.702692712,9064195.90026003,-35.9452493113184,-8.45396347966286,-999999,0
"1232","F1007",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2853,1,6.11767822235472,836395.846594779,9064203.95573111,-35.9453030101102,-8.45389113430026,-999999,0
"1233","F1008",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2832,1,5.00928491207717,836388.146214689,9064209.41904569,-35.9453732553806,-8.45384233304721,-999999,0
"1234","F1009",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2849,1,2.58726930018117,836394.034533989,9064214.71076092,-35.945320214255,-8.4537941188167,-999999,0
