"","xcoord","Name","description","timestamp","begin","end","altitudeMode","tessellate","extrude","visibility","drawOrder","icon","id.x","Ocup_2000.x","Ocup_2010.x","Ocup_2018.x","ycoord.x","NM_MU.x","CODMU.x","COD_1.x","COD_UF.x","UF.x","COD_2.x","ANO.x","IVS_2000.x","IVS_INF_00.x","IVS_CPH_00.x","IVS_REN_00.x","X2010_ANO","IVS_2010.x","IVS_INF_10.x","IVS_CPH_10.x","IVS_REN_10.x","fid","ID_UNICO","nome_1KM","nome_5KM","nome_10KM","nome_50KM","nome_100KM","nome_500KM","QUADRANTE","MASC","FEM","POP","DOM_OCU","area","perimeter","URB_RURAL","Dens_Dom","Dens_hab","id.y","Ocup_2000.y","Ocup_2010.y","Ocup_2018.y","ycoord.y","NM_MU.y","CODMU.y","COD_1.y","COD_UF.y","UF.y","COD_2.y","ANO.y","IVS_2000.y","IVS_INF_00.y","IVS_CPH_00.y","IVS_REN_00.y","2010_ANO","IVS_2010.y","IVS_INF_10.y","IVS_CPH_10.y","IVS_REN_10.y"
"497",-35.984105433167,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F270",1,1,0,-8.28579448438976,"CARUARU",2604106,260410,26,"Pernambuco",2604106,2000,0.447,0.178,0.64,0.522,2010,0.31,0.105,0.467,0.357,2273,"200ME69578N103538","1KME6957N10353","5KME6955N10350","10KME6950N10350","50KME6950N10350","100KME6900N10350","500KME6800N10350","ID_68",328,378,706,203,40075.0360107422,800.818144427114,1,0.005,0.017616952354347,"F270",1,1,0,-8.28579448438976,"CARUARU",2604106,260410,26,"Pernambuco",2604106,2000,0.447,0.178,0.64,0.522,2010,0.31,0.105,0.467,0.357
"498",-35.9840869053828,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F353",1,1,0,-8.28914570978394,"CARUARU",2604106,260410,26,"Pernambuco",2604106,2000,0.447,0.178,0.64,0.522,2010,0.31,0.105,0.467,0.357,2263,"200ME69578N103534","1KME6957N10353","5KME6955N10350","10KME6950N10350","50KME6950N10350","100KME6900N10350","500KME6800N10350","ID_68",126,138,264,76,40075.0048828125,800.81787741684,1,0.002,0.006587647357049,"F353",1,1,0,-8.28914570978394,"CARUARU",2604106,260410,26,"Pernambuco",2604106,2000,0.447,0.178,0.64,0.522,2010,0.31,0.105,0.467,0.357
"499",-35.9840565653933,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F269",1,1,0,-8.28558987038338,"CARUARU",2604106,260410,26,"Pernambuco",2604106,2000,0.447,0.178,0.64,0.522,2010,0.31,0.105,0.467,0.357,2273,"200ME69578N103538","1KME6957N10353","5KME6955N10350","10KME6950N10350","50KME6950N10350","100KME6900N10350","500KME6800N10350","ID_68",328,378,706,203,40075.0360107422,800.818144427114,1,0.005,0.017616952354347,"F269",1,1,0,-8.28558987038338,"CARUARU",2604106,260410,26,"Pernambuco",2604106,2000,0.447,0.178,0.64,0.522,2010,0.31,0.105,0.467,0.357
"500",-35.9840565645437,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F269",1,1,0,-8.28558987039898,"CARUARU",2604106,260410,26,"Pernambuco",2604106,2000,0.447,0.178,0.64,0.522,2010,0.31,0.105,0.467,0.357,2273,"200ME69578N103538","1KME6957N10353","5KME6955N10350","10KME6950N10350","50KME6950N10350","100KME6900N10350","500KME6800N10350","ID_68",328,378,706,203,40075.0360107422,800.818144427114,1,0.005,0.017616952354347,"F269",1,1,0,-8.28558987039898,"CARUARU",2604106,260410,26,"Pernambuco",2604106,2000,0.447,0.178,0.64,0.522,2010,0.31,0.105,0.467,0.357
"501",-35.9840515298472,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F268",1,1,0,-8.2855327008962,"CARUARU",2604106,260410,26,"Pernambuco",2604106,2000,0.447,0.178,0.64,0.522,2010,0.31,0.105,0.467,0.357,2273,"200ME69578N103538","1KME6957N10353","5KME6955N10350","10KME6950N10350","50KME6950N10350","100KME6900N10350","500KME6800N10350","ID_68",328,378,706,203,40075.0360107422,800.818144427114,1,0.005,0.017616952354347,"F268",1,1,0,-8.2855327008962,"CARUARU",2604106,260410,26,"Pernambuco",2604106,2000,0.447,0.178,0.64,0.522,2010,0.31,0.105,0.467,0.357
"502",-35.9840515289976,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F268",1,1,0,-8.2855327009118,"CARUARU",2604106,260410,26,"Pernambuco",2604106,2000,0.447,0.178,0.64,0.522,2010,0.31,0.105,0.467,0.357,2273,"200ME69578N103538","1KME6957N10353","5KME6955N10350","10KME6950N10350","50KME6950N10350","100KME6900N10350","500KME6800N10350","ID_68",328,378,706,203,40075.0360107422,800.818144427114,1,0.005,0.017616952354347,"F268",1,1,0,-8.2855327009118,"CARUARU",2604106,260410,26,"Pernambuco",2604106,2000,0.447,0.178,0.64,0.522,2010,0.31,0.105,0.467,0.357
"503",-35.9840400708298,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F267",1,1,0,-8.28541939618558,"CARUARU",2604106,260410,26,"Pernambuco",2604106,2000,0.447,0.178,0.64,0.522,2010,0.31,0.105,0.467,0.357,2273,"200ME69578N103538","1KME6957N10353","5KME6955N10350","10KME6950N10350","50KME6950N10350","100KME6900N10350","500KME6800N10350","ID_68",328,378,706,203,40075.0360107422,800.818144427114,1,0.005,0.017616952354347,"F267",1,1,0,-8.28541939618558,"CARUARU",2604106,260410,26,"Pernambuco",2604106,2000,0.447,0.178,0.64,0.522,2010,0.31,0.105,0.467,0.357
"504",-35.9840400699803,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F267",1,1,0,-8.28541939620118,"CARUARU",2604106,260410,26,"Pernambuco",2604106,2000,0.447,0.178,0.64,0.522,2010,0.31,0.105,0.467,0.357,2273,"200ME69578N103538","1KME6957N10353","5KME6955N10350","10KME6950N10350","50KME6950N10350","100KME6900N10350","500KME6800N10350","ID_68",328,378,706,203,40075.0360107422,800.818144427114,1,0.005,0.017616952354347,"F267",1,1,0,-8.28541939620118,"CARUARU",2604106,260410,26,"Pernambuco",2604106,2000,0.447,0.178,0.64,0.522,2010,0.31,0.105,0.467,0.357
"505",-35.9840166175295,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F266",1,1,0,-8.28523907053787,"CARUARU",2604106,260410,26,"Pernambuco",2604106,2000,0.447,0.178,0.64,0.522,2010,0.31,0.105,0.467,0.357,2273,"200ME69578N103538","1KME6957N10353","5KME6955N10350","10KME6950N10350","50KME6950N10350","100KME6900N10350","500KME6800N10350","ID_68",328,378,706,203,40075.0360107422,800.818144427114,1,0.005,0.017616952354347,"F266",1,1,0,-8.28523907053787,"CARUARU",2604106,260410,26,"Pernambuco",2604106,2000,0.447,0.178,0.64,0.522,2010,0.31,0.105,0.467,0.357
"506",-35.98401661668,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F266",1,1,0,-8.28523907055347,"CARUARU",2604106,260410,26,"Pernambuco",2604106,2000,0.447,0.178,0.64,0.522,2010,0.31,0.105,0.467,0.357,2273,"200ME69578N103538","1KME6957N10353","5KME6955N10350","10KME6950N10350","50KME6950N10350","100KME6900N10350","500KME6800N10350","ID_68",328,378,706,203,40075.0360107422,800.818144427114,1,0.005,0.017616952354347,"F266",1,1,0,-8.28523907055347,"CARUARU",2604106,260410,26,"Pernambuco",2604106,2000,0.447,0.178,0.64,0.522,2010,0.31,0.105,0.467,0.357
"507",-35.9840113171303,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F354",1,1,0,-8.28894770824716,"CARUARU",2604106,260410,26,"Pernambuco",2604106,2000,0.447,0.178,0.64,0.522,2010,0.31,0.105,0.467,0.357,2263,"200ME69578N103534","1KME6957N10353","5KME6955N10350","10KME6950N10350","50KME6950N10350","100KME6900N10350","500KME6800N10350","ID_68",126,138,264,76,40075.0048828125,800.81787741684,1,0.002,0.006587647357049,"F354",1,1,0,-8.28894770824716,"CARUARU",2604106,260410,26,"Pernambuco",2604106,2000,0.447,0.178,0.64,0.522,2010,0.31,0.105,0.467,0.357
"508",-35.9839943360157,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F265",1,1,0,-8.28510719189263,"CARUARU",2604106,260410,26,"Pernambuco",2604106,2000,0.447,0.178,0.64,0.522,2010,0.31,0.105,0.467,0.357,2278,"200ME69578N103540","1KME6957N10353","5KME6955N10350","10KME6950N10350","50KME6950N10350","100KME6900N10350","500KME6800N10350","ID_68",329,376,705,196,40075.0451660156,800.818211487962,1,0.005,0.017591995145095,"F265",1,1,0,-8.28510719189263,"CARUARU",2604106,260410,26,"Pernambuco",2604106,2000,0.447,0.178,0.64,0.522,2010,0.31,0.105,0.467,0.357
