cod;id;Ocup_2000;Ocup_2010;Ocup_2018;xcoord;ycoord;NM_MU;CODMU;COD_1;COD_UF;UF;COD_2;ANO;IVS_2000;IVS_INF_00;IVS_CPH_00;IVS_REN_00;IVS_2010;IVS_INF_10;IVS_CPH_10;IVS_REN_10;fid;MASC;FEM;POP;DOM_OCU;area;perimeter;URB_RURAL;Dens_Dom;Dens_hab;MRT;VTN_MED;VTN_MIN;VTN_MAX;IDEX
44;F1083;1;0;0;-36,0573772091;-8,0108599319;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;909;55;59;114;34;40080,5278320313;800,8695879577;1;0,001;0,0028442739;MRT IV;5105,25;1578,52;8631,99;139
45;F1497;1;0;0;-36,0587599651;-8,008912403;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;913;311;325;636;179;40080,6719970703;800,8710058282;1;0,004;0,0158679974;MRT IV;5105,25;1578,52;8631,99;139
46;F1498;1;0;0;-36,0586972852;-8,0089720216;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;913;311;325;636;179;40080,6719970703;800,8710058282;1;0,004;0,0158679974;MRT IV;5105,25;1578,52;8631,99;139
47;F1499;1;0;0;-36,058670739;-8,0090028187;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;913;311;325;636;179;40080,6719970703;800,8710058282;1;0,004;0,0158679974;MRT IV;5105,25;1578,52;8631,99;139
48;F1500;1;0;0;-36,0586405855;-8,0090360196;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;913;311;325;636;179;40080,6719970703;800,8710058282;1;0,004;0,0158679974;MRT IV;5105,25;1578,52;8631,99;139
49;F1501;1;0;0;-36,0586148296;-8,0090792467;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;913;311;325;636;179;40080,6719970703;800,8710058282;1;0,004;0,0158679974;MRT IV;5105,25;1578,52;8631,99;139
50;F1503;1;0;0;-36,0585296526;-8,0091816168;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;913;311;325;636;179;40080,6719970703;800,8710058282;1;0,004;0,0158679974;MRT IV;5105,25;1578,52;8631,99;139
51;F1509;1;0;0;-36,0584298232;-8,0093075756;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;913;311;325;636;179;40080,6719970703;800,8710058282;1;0,004;0,0158679974;MRT IV;5105,25;1578,52;8631,99;139
52;F1510;1;0;0;-36,0584035748;-8,0093247007;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;913;311;325;636;179;40080,6719970703;800,8710058282;1;0,004;0,0158679974;MRT IV;5105,25;1578,52;8631,99;139
53;F1511;1;0;0;-36,0583737962;-8,0093417751;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;913;311;325;636;179;40080,6719970703;800,8710058282;1;0,004;0,0158679974;MRT IV;5105,25;1578,52;8631,99;139
54;F1513;1;0;0;-36,0583053659;-8,0094019746;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;913;311;325;636;179;40080,6719970703;800,8710058282;1;0,004;0,0158679974;MRT IV;5105,25;1578,52;8631,99;139
55;F1514;1;0;0;-36,0582377812;-8,0095145051;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;913;311;325;636;179;40080,6719970703;800,8710058282;1;0,004;0,0158679974;MRT IV;5105,25;1578,52;8631,99;139
